행사분류,상품명,가격,URL,ALT
1+1,BR)피치요거트과즙워터500ML,2500,https://image.woodongs.com/imgsvr/item/GD_8809288634974_001.jpg,BR)피치요거트과즙워터500ML
1+1,BR)레인보우샤베트제로350ML,1900,https://image.woodongs.com/imgsvr/item/GD_8809288634066_002.jpg,BR)레인보우샤베트제로350ML
1+1,BR)애플민트제로350ML,1900,https://image.woodongs.com/imgsvr/item/GD_8809288634073_002.jpg,BR)애플민트제로350ML
1+1,천지개벽)숙취해소음료100ML,5000,https://image.woodongs.com/imgsvr/item/GD_8809329050015_018.jpg,천지개벽)숙취해소음료100ML
1+1,OKF)알로에베라킹500ML,2200,https://image.woodongs.com/imgsvr/item/GD_8809041427065_002.jpg,OKF)알로에베라킹500ML
1+1,유어스(P)진생밀크T240ML,2900,https://image.woodongs.com/imgsvr/item/GD_8809880095128_001.jpg,유어스(P)진생밀크T240ML
1+1,롯데)핫식스더킹러쉬355ML,2200,https://image.woodongs.com/imgsvr/item/GD_8801056178925_002.jpg,롯데)핫식스더킹러쉬355ML
1+1,롯데)핫식스더킹제로355ML,2200,https://image.woodongs.com/imgsvr/item/GD_8801056228255_002.jpg,롯데)핫식스더킹제로355ML
1+1,롯데)핫식스더킹크러쉬피치355ML,2200,https://image.woodongs.com/imgsvr/item/GD_8801056234423_001.JPG,롯데)핫식스더킹크러쉬피치355ML
1+1,롯데)핫식스더킹파워355ML,2200,https://image.woodongs.com/imgsvr/item/GD_8801056098834_004.jpg,롯데)핫식스더킹파워355ML
1+1,롯데)핫식스더킹포스355ML,2200,https://image.woodongs.com/imgsvr/item/GD_8801056171032_002.jpg,롯데)핫식스더킹포스355ML
1+1,롯데)펩시제로라임캔355ML,1900,https://image.woodongs.com/imgsvr/item/GD_8801056175900_003.jpg,롯데)펩시제로라임캔355ML
1+1,롯데)펩시제로망고캔355ML,1900,https://image.woodongs.com/imgsvr/item/GD_8801056232979_001.jpg,롯데)펩시제로망고캔355ML
1+1,롯데)펩시콜라캔355ML,1900,https://image.woodongs.com/imgsvr/item/GD_8801056150013_007.jpg,롯데)펩시콜라캔355ML
1+1,롯데)칠성사이다제로500ML,2200,https://image.woodongs.com/imgsvr/item/GD_8801056177584_004.jpg,롯데)칠성사이다제로500ML
1+1,롯데)칠성사이다제로블루500ML,2200,https://image.woodongs.com/imgsvr/item/GD_8801056236007_001.jpg,롯데)칠성사이다제로블루500ML
